game_result,RS,RA,PA,AB,H,second_base,third_base,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batters_number,LOB,IP,Hits_allow,Runs_allow,ER,UER,BB_allow,SO_pitch,HR_allow,HBP_pitch,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB_allow,CS_pitch,AB_pitch,allow_2B,allow_3B,IBB_allow,SH_allow,SF_allow,ROE_allow,GIDP_allow,pitchers_number,game_location,rank
1,13,5,46,38,14,6,0,1,12,8,2,11,0,0,0,0,0,0,0,0.261,0.327,0.408,0.735,16,9,9.0,9,5,5,0,1,7,2,1,3.63,37,143,90,1.0,0.0,0,0,35,3,0,0,0,0,0,1,4,1,2
1,11,5,41,37,14,5,0,4,11,3,0,7,0,1,0,1,1,0,0,0.268,0.332,0.432,0.764,16,6,9.0,11,5,5,0,5,9,1,0,3.71,40,170,93,6.0,2.0,0,0,35,2,0,0,0,0,0,3,5,1,2
0,2,6,34,33,7,1,0,1,2,1,0,8,0,0,0,0,0,0,0,0.265,0.328,0.428,0.755,14,5,9.0,9,6,6,0,5,5,1,0,3.83,39,143,85,1.0,1.0,0,0,34,4,0,0,0,0,0,1,3,1,2
1,7,6,37,34,10,1,0,2,7,2,0,8,1,0,0,1,0,4,0,0.267,0.329,0.431,0.76,17,6,9.0,10,6,5,1,1,16,2,0,3.89,39,156,107,0.0,0.0,1,0,37,0,0,0,0,1,1,0,5,1,2
1,9,3,42,36,16,3,1,2,9,3,0,8,0,2,1,0,0,2,1,0.275,0.336,0.446,0.782,13,9,9.0,10,3,3,0,2,12,1,0,3.84,39,150,100,0.0,0.0,0,0,37,2,0,0,0,0,0,0,3,1,2
0,5,8,42,36,11,3,0,0,5,5,0,13,1,0,0,0,1,3,1,0.276,0.339,0.443,0.783,14,10,9.0,12,8,8,0,3,12,3,0,4.03,41,157,100,1.0,0.0,3,0,37,3,0,0,1,0,1,2,4,1,2
1,6,2,34,31,8,2,0,3,5,3,0,2,0,0,0,0,0,2,0,0.276,0.338,0.45,0.788,10,4,9.0,4,2,2,0,0,11,1,1,3.94,31,116,75,0.0,0.0,1,0,30,2,0,0,0,0,0,1,2,1,1
0,1,3,35,32,6,0,0,0,1,3,0,6,0,0,0,0,1,3,0,0.272,0.335,0.44,0.775,13,7,9.0,6,3,3,0,3,12,1,0,3.9,36,128,77,1.0,0.0,0,0,32,3,0,0,1,0,0,0,4,1,2
0,6,7,39,35,8,1,0,3,6,3,0,4,1,0,0,1,1,2,0,0.271,0.334,0.443,0.777,16,6,9.0,11,7,7,0,5,13,3,0,4.03,42,168,105,3.0,1.0,0,0,36,2,0,1,1,0,0,1,6,1,2
1,2,0,51,47,11,2,0,1,2,3,1,13,1,0,0,0,0,0,0,0.269,0.332,0.438,0.77,18,13,13.0,5,0,0,0,4,17,0,0,3.81,48,200,129,1.0,0.0,0,0,44,1,0,0,0,0,1,1,7,1,2
